,Lon,lon_minus_90,lat_minus_90,lon_minus_85,lat_minus_85,lon_minus_80,lat_minus_80,lon_minus_75,lat_minus_75,lon_minus_70,lat_minus_70,lon_minus_65,lat_minus_65,lon_minus_60,lat_minus_60,lon_minus_55,lat_minus_55,lon_minus_50,lat_minus_50,lon_minus_45,lat_minus_45,lon_minus_40,lat_minus_40,lon_minus_35,lat_minus_35,lon_minus_30,lat_minus_30,lon_minus_25,lat_minus_25,lon_minus_20,lat_minus_20,lon_minus_15,lat_minus_15,lon_minus_10,lat_minus_10,lon_minus_5,lat_minus_5,lon__0,lat__0,lon__5,lat__5,lon__10,lat__10,lon__15,lat__15,lon__20,lat__20,lon__25,lat__25,lon__30,lat__30,lon__35,lat__35,lon__40,lat__40,lon__45,lat__45,lon__50,lat__50,lon__55,lat__55,lon__60,lat__60,lon__65,lat__65,lon__70,lat__70,lon__75,lat__75,lon__80,lat__80,lon__85,lat__85,lon__90,lat__90
157,157,125.73628997802734,-74.38825225830078,115.70482635498047,-70.34915161132812,109.03744506835938,-65.94031524658203,104.28030395507812,-61.34530258178711,100.6531982421875,-56.6595344543457,97.73406219482422,-51.93683624267578,95.29171752929688,-47.2092399597168,93.20037841796875,-42.49629211425781,91.39332580566406,-37.809688568115234,89.83565521240234,-33.15572738647461,88.50759887695312,-28.536575317382812,87.39456176757812,-23.951168060302734,86.48175048828125,-19.39592742919922,85.75196838378906,-14.86551570892334,85.18529510498047,-10.35355281829834,84.75962829589844,-5.853287696838379,84.45170593261719,-1.3581922054290771,84.23812103271484,3.1375482082366943,84.0963134765625,7.63867712020874,84.0055923461914,12.148716926574707,83.94791412353516,16.670114517211914,83.90863037109375,21.20473289489746,83.87657165527344,25.754682540893555,83.84384155273438,30.32335662841797,83.80487823486328,34.9164924621582,83.75503540039062,39.54304885864258,83.68875122070312,44.21574020385742,83.59711456298828,48.95109558105469,83.46455383300781,53.7689094543457,83.2629165649414,58.69085693359375,82.93973541259766,63.73801040649414,82.38910675048828,68.92674255371094,81.3628921508789,74.26253509521484,79.09272766113281,79.73030853271484,71.2405014038086,85.25816345214844,-46.9798698425293,88.38829803466797,-84.52667999267578,83.10382843017578
158,158,125.73628997802734,-74.38825225830078,115.91767120361328,-70.31028747558594,109.40806579589844,-65.88127899169922,104.76629638671875,-61.2779541015625,101.22716522216797,-56.5916633605957,98.37855529785156,-51.87354278564453,95.99505615234375,-47.15363693237305,93.95401763916016,-42.44986343383789,92.19036865234375,-37.77262878417969,90.67011260986328,-33.12723159790039,89.37415313720703,-28.515230178833008,88.28857421875,-23.935239791870117,87.39928436279297,-19.3836669921875,86.68978118896484,-14.85534381866455,86.14065551757812,-10.344175338745117,85.73017883300781,-5.843739032745361,85.43524932861328,-1.3478280305862427,85.23233795166016,3.149078369140625,85.09868621826172,7.651467800140381,85.01329803466797,12.162644386291504,84.95794677734375,16.684871673583984,84.91795349121094,21.21988296508789,84.88245391845703,25.76971435546875,84.84410858154297,30.3377628326416,84.79822540283203,34.929847717285156,84.7413330078125,39.555084228515625,84.6692123413086,44.22637939453125,84.57467651367188,48.960479736328125,84.44417572021484,53.777374267578125,84.25244140625,58.69895553588867,83.9514389038086,63.74649429321289,83.4434814453125,68.93658447265625,82.49907684326172,74.275146484375,80.40673828125,79.74822998046875,73.12298583984375,85.29047393798828,-48.90192413330078,88.44790649414062,-84.52667999267578,83.10382843017578
159,159,125.73628997802734,-74.38825225830078,116.13198852539062,-70.27246856689453,109.77989959716797,-65.8240966796875,105.2530746459961,-61.21298599243164,101.80164337158203,-56.526512145996094,99.02340698242188,-51.81318664550781,96.69867706298828,-47.101097106933594,94.7079086303711,-42.40660095214844,92.98765563964844,-37.73883819580078,91.50482177734375,-33.102176666259766,90.24101257324219,-28.49751853942871,89.18294525146484,-23.923189163208008,88.31725311279297,-19.375539779663086,87.6280746459961,-14.849552154541016,87.09660339355469,-10.339384078979492,86.7014389038086,-5.838911533355713,86.41954803466797,-1.3422248363494873,86.22737121582031,3.155927896499634,86.10186767578125,7.659792423248291,86.02174377441406,12.172455787658691,85.9686050415039,16.695987701416016,85.92772674560547,21.23196029663086,85.8885269165039,25.782299041748047,85.84431457519531,30.350364685058594,85.79129028320312,34.9420280456543,85.72712707519531,39.5665168762207,85.64900207519531,44.23691177368164,85.5513916015625,48.97013854980469,85.4228286743164,53.786399841308594,85.24092864990234,58.707759857177734,84.96210479736328,63.75567626953125,84.49690246582031,68.94695281982422,83.63465118408203,74.28789520263672,81.72160339355469,79.765625,75.02047729492188,85.3209457397461,-51.019107818603516,88.50434875488281,-84.52667999267578,83.10382843017578
160,160,125.73628997802734,-74.38825225830078,116.3477554321289,-70.23572540283203,110.15290832519531,-65.76873779296875,105.74064636230469,-61.15037536621094,102.37664794921875,-56.46406173706055,99.66864013671875,-51.75572967529297,97.40262603759766,-47.05157470703125,95.46212768554688,-42.36644744873047,93.7852783203125,-37.70827865600586,92.33992767333984,-33.08049011230469,91.10831451416016,-28.483388900756836,90.07785034179688,-23.914968490600586,89.23583984375,-19.371517181396484,88.56710815429688,-14.848124504089355,88.0533676147461,-10.339179992675781,87.67356872558594,-5.8388214111328125,87.40479278564453,-1.3414065837860107,87.22335052490234,3.1580703258514404,87.1059341430664,7.663628101348877,87.03097534179688,12.17813777923584,86.9798355102539,16.703460693359375,86.93785095214844,21.240976333618164,86.89472961425781,25.792463302612305,86.84440612792969,30.3612060546875,86.78398895263672,34.95307540893555,86.71233367919922,39.577396392822266,86.6280517578125,44.247371673583984,86.52725219726562,48.98012924194336,86.40057373046875,53.7960205078125,86.22846221923828,58.71730041503906,85.9718246459961,63.76557540893555,85.54950714111328,68.9578628540039,84.76978302001953,74.3008041381836,83.03744506835938,79.78253936767578,76.9324951171875,85.34951782226562,-53.34195327758789,88.55726623535156,-84.52667999267578,83.10382843017578
161,161,125.73628997802734,-74.38825225830078,116.56492614746094,-70.20005798339844,110.527099609375,-65.71521759033203,106.22901916503906,-61.090126037597656,102.95220947265625,-56.4042854309082,100.3143081665039,-51.701133728027344,98.10694885253906,-47.00502395629883,96.21672058105469,-42.32935333251953,94.58334350585938,-37.68086624145508,93.17552947998047,-33.06210708618164,91.9762191772461,-28.472768783569336,90.97347259521484,-23.910511016845703,90.15526580810547,-19.371532440185547,89.50707244873047,-14.851012229919434,89.01115417480469,-10.343523025512695,88.64678192138672,-5.843439102172852,88.39111328125,-1.3453489542007446,88.2203598022461,3.155529022216797,88.11092376708984,7.663002014160156,88.04096984863281,12.179722785949707,87.99163818359375,16.70733070373535,87.94827270507812,21.246978759765625,87.90096282958984,25.80026626586914,87.84424591064453,30.370346069335938,87.7762222290039,34.96305847167969,87.69690704345703,39.58777618408203,87.60633087158203,44.257835388183594,87.50225830078125,48.99049758911133,87.37740325927734,53.80628967285156,87.215087890625,58.72761917114258,86.98070526123047,63.7762451171875,86.60144805908203,68.96935272216797,85.90463256835938,74.31389617919922,84.35438537597656,79.79893493652344,78.85855102539062,85.37617492675781,-55.87842559814453,88.60623168945312,-84.52667999267578,83.10382843017578
162,162,125.73628997802734,-74.38825225830078,116.78346252441406,-70.16545104980469,110.90241241455078,-65.66354370117188,106.7181625366211,-61.03221130371094,103.52833557128906,-56.3471565246582,100.9604263305664,-51.64937210083008,98.81170654296875,-46.96140670776367,96.97177124023438,-42.295257568359375,95.38191223144531,-37.65654754638672,94.01175689697266,-33.04695510864258,92.84487915039062,-28.4655704498291,91.86996459960938,-23.909727096557617,91.07569122314453,-19.37550163269043,90.44816589355469,-14.85813045501709,89.97012329101562,-10.352336883544922,89.62120056152344,-5.852688312530518,89.37864685058594,-1.3539799451828003,89.21849060058594,3.148376941680908,89.11690521240234,7.657989025115967,89.05172729492188,12.177292823791504,89.00394439697266,16.707683563232422,88.95893096923828,21.25006103515625,88.90714263916016,25.80579376220703,88.84378051757812,30.377872467041016,88.76792907714844,34.9720573425293,88.68079376220703,39.59775161743164,88.58380126953125,44.268367767333984,88.47640228271484,49.00131607055664,88.35338592529297,53.817264556884766,88.20091247558594,58.738765716552734,87.98888397216797,63.787715911865234,87.65284729003906,68.98145294189453,87.03936767578125,74.32720184326172,85.67257690429688,79.81485748291016,80.7980728149414,85.40087127685547,-58.6326789855957,88.65081024169922,-84.52667999267578,83.10382843017578
163,163,125.73628997802734,-74.38825225830078,117.00334167480469,-70.13191986083984,111.27884674072266,-65.61369323730469,107.2081069946289,-60.97661590576172,104.10503387451172,-56.292659759521484,101.6070327758789,-51.600399017333984,99.5169448852539,-46.92066955566406,97.72734069824219,-42.264095306396484,96.18109130859375,-37.6352424621582,94.84871673583984,-33.034934997558594,93.71441650390625,-28.461694717407227,92.76750183105469,-23.912504196166992,91.9972915649414,-19.383310317993164,91.39051818847656,-14.869362831115723,90.93045806884766,-10.365501403808594,90.59699249267578,-5.866453647613525,90.36748504638672,-1.3671801090240479,90.21780395507812,3.136735200881958,90.12389373779297,7.6487135887146,90.0632553100586,12.17097282409668,90.01671600341797,16.70464515686035,89.9697494506836,21.25034523010254,89.91316986083984,25.809165954589844,89.84292602539062,30.383892059326172,89.759033203125,34.98017501831055,89.66393280029297,39.60739517211914,89.56046295166016,44.27904510498047,89.44972229003906,49.01264190673828,89.32855987548828,53.82899856567383,89.18601989746094,58.75078582763672,88.9964599609375,63.80001449584961,88.7038803100586,68.9941635131836,88.17416381835938,74.3407211303711,86.99214935302734,79.8302993774414,82.75045776367188,85.4236068725586,-61.603607177734375,88.69055938720703,-84.52667999267578,83.10382843017578
164,164,125.73628997802734,-74.38825225830078,117.2245101928711,-70.0994644165039,111.65637969970703,-65.56565856933594,107.69882202148438,-60.92333984375,104.68231201171875,-56.24077224731445,102.25415802001953,-51.5541877746582,100.2226791381836,-46.88276290893555,98.48345947265625,-42.23581314086914,96.98094177246094,-37.61685562133789,95.68647766113281,-33.02594757080078,94.58493041992188,-28.461023330688477,93.66618347167969,-23.918716430664062,92.92019653320312,-19.394817352294922,92.33432006835938,-14.884559631347656,91.89227294921875,-10.382862091064453,91.57426452636719,-5.8845720291137695,91.35771942138672,-1.3847839832305908,91.2183837890625,3.1207730770111084,91.13190460205078,7.635348320007324,91.07550811767578,12.160935401916504,91.02991485595703,16.698383331298828,90.98066711425781,21.24799156188965,90.91899108886719,25.810535430908203,90.84158325195312,30.388545989990234,90.74945831298828,34.98753356933594,90.64627075195312,39.616817474365234,90.53627014160156,44.289955139160156,90.42220306396484,49.02455139160156,90.30298614501953,53.841548919677734,90.17047119140625,58.76371383666992,90.00358581542969,63.81318664550781,89.75469207763672,69.0075454711914,89.3092041015625,74.35447692871094,88.3132553100586,79.84527587890625,84.71504211425781,85.44432067871094,-64.78336334228516,88.72500610351562,-84.52667999267578,83.10382843017578
165,165,125.73628997802734,-74.38825225830078,117.44694519042969,-70.06807708740234,112.03496551513672,-65.51944732666016,108.19031524658203,-60.87236022949219,105.26020050048828,-56.19145202636719,102.90180206298828,-51.51070022583008,100.92894744873047,-46.84762954711914,99.24019622802734,-42.2103271484375,97.78150939941406,-37.601318359375,96.52513885498047,-33.01988983154297,95.4565200805664,-28.463430404663086,94.56613159179688,-23.92821502685547,93.84455108642578,-19.409854888916016,93.2796630859375,-14.903538703918457,92.8556900024414,-10.40422534942627,92.55313873291016,-5.906840801239014,92.34944915771484,-1.4065806865692139,92.22026062011719,3.1007068157196045,92.14093780517578,7.618109226226807,92.08848571777344,12.147393226623535,92.04347229003906,16.68910789489746,91.99158477783203,21.243192672729492,91.92451477050781,25.810073852539062,91.83968353271484,30.39198875427246,91.7391586303711,34.994258880615234,91.62779998779297,39.62613296508789,91.51124572753906,44.30119323730469,91.39391326904297,49.03712463378906,91.27672576904297,53.85497283935547,91.15440368652344,58.77761459350586,91.01036071777344,63.82725524902344,90.80546569824219,69.02159118652344,90.4446792602539,74.36846923828125,89.63603973388672,79.85975646972656,86.69110870361328,85.46300506591797,-68.15602111816406,88.7536849975586,-84.52667999267578,83.10382843017578
166,166,125.73628997802734,-74.38825225830078,117.67060852050781,-70.03778839111328,112.41460418701172,-65.47506713867188,108.68257904052734,-60.82366180419922,105.83869171142578,-56.14469528198242,103.54999542236328,-51.46989822387695,101.63578796386719,-46.81522750854492,99.99756622314453,-42.18757247924805,98.58285522460938,-37.588531494140625,97.36473083496094,-33.01664733886719,96.32925415039062,-28.468774795532227,95.46744537353516,-23.940832138061523,94.77042388916016,-19.428234100341797,94.2266616821289,-14.926093101501465,93.82083892822266,-10.429364204406738,93.53367614746094,-5.933018684387207,93.34272766113281,-1.432316780090332,93.22345733642578,3.076796293258667,93.15101623535156,7.597259044647217,93.10215759277344,12.13060474395752,93.0573501586914,16.677059173583984,93.00247192382812,21.236175537109375,92.92967987060547,25.8079833984375,92.83718872070312,30.394393920898438,92.72809600830078,35.0004997253418,92.60848236083984,39.63546371459961,92.48539733886719,44.31285858154297,92.36486053466797,49.05043411254883,92.24986267089844,53.86933517456055,92.1379165649414,58.79251480102539,92.01696014404297,63.84225845336914,91.85635375976562,69.03633117675781,91.58077239990234,74.38272094726562,90.9606704711914,79.87377166748047,88.67790985107422,85.47962188720703,-71.6968002319336,88.77621459960938,-84.52667999267578,83.10382843017578
